"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","OC18185984","S","SFR/A","4589","Dogwood CT  ","OCE","OCE","STD","$450,000","$264.08","3/2,0,1,0","1704/A","1980/ASR","0.2163/9,420","0/0","N","N","2.5","08/15/18","CRMLSM"
"1","18368776","S","SFR/D","786","MOSAIC CIR  ","OCE","OCE","STD","$475,000","$210.74","4/3,0,0,0","2254/","1990","12.52/545,371","0/0","N","N","2","08/10/18","CLAW"
"1","180043071","S","SFR/D","786","Mosaic Circle   ","OCE","OCE","STD","$475,000","$210.74","4/3,0,0,0","2254/A","1990","","0/0","","","2","08/10/18","SAND"
"1","PI18187491","S","SFR/D","1148","Via Alta   ","SMIA","OREA","STD","$422,500","$369.32","3/1,1,0,0","1144/A","1961/PUB","0.18/7,841","1/1","N","N","2.5","08/27/18","CRMLSM"
"1","SR18186014","S","SFR/D","8137","Tilden AVE  ","PC","PC","STD","$352,500","$355.70","2/2,0,0,0","991/A","1949/ASR","0.1377/5,999","0/0","N","N","2.5","08/03/18","CRIS"
"1","PW18186733","S","CONDO/A","3740","Santa Rosalia DR   #302","LA","PHHT","STD","$422,000","$586.11","1/1,0,0,0","720/A","2007/ASR","1.4966/65,193","5/5","Y","N","2.5","09/11/18","CRMLSM"
"1","18371796","S","SFR/A","2558","DESERT OAK DR  ","PDL","PLM","STD","$268,000","$188.47","3/2,0,0,0","1422/","1981","0.1706/7,433","9/9","N","N","2.5","09/14/18","CLAW"
"1","OC18186574","S","CONDO/A","35","Celosia   ","RSM","R1","STD","$386,000","$420.48","2/1,0,0,0","918/B","1990/ASR","","20/20","Y","N","2.5","09/13/18","CRMLSM"
"1","OC18186380","S","CONDO/D","178","Calle De Los Ninos   ","RSM","R2","STD","$510,000","$559.82","2/2,0,1,0","911/A","1997/EST","0/0","0/0","N","N","2.5","08/27/18","CRMLSM"
"1","180042737","S","DPLX/A","8676","Rideabout Ln   ","SD","RAP","","$612,000","$543.03","2/2,0,0,0","1127/A","1987","0.09/3,900","0/0","","","2.5","07/31/18","SAND"
"1","SR18186520","S","SFR/D","7444","Donna AVE  ","RES","RES","STD","$590,000","$327.05","4/1,2,0,0","1804/AP","1959/ASR","0.1812/7,895","3/3","N","Y","2.5","09/13/18","CRIS"
"1","OC18186888","S","SFR/D","10860","Elm AVE  ","LNWD","RM","STD","$430,000","$435.22","3/1,0,0,0","988/A","1948/ASR","0.1163/5,065","3/3","N","N","2.5","09/12/18","CRMLSM"
"1","PW18187534","S","SFR/D","2807 W","Bennett ST  ","CMP","RQ","STD","$428,800","$477.51","2/1,0,0,0","898/A","1951/ASR","0.116/5,054","5/5","N","N","2.5","09/05/18","CRMLSM"
"1","OC18186549","S","TWNHS/A","22215","Caminito Vino   ","LAGH","S2","STD","$449,888","$432.17","2/1,0,1,0","1041/A","1979/PUB","","9/9","Y","N","2.5","09/14/18","CRMLSM"
"1","180042468","S","SFR/D","6349","Amber Lake   ","SAC","SAC","","$405,000","$385.71","3/2,0,0,0","1050/A","1957","","0/0","","","2.5","08/01/18","SAND"
"1","DW18188210","S","SFR/D","8917","Sovereign RD  ","SD","SD","STD","$669,900","$455.10","4/1,1,0,0","1472/A","1958/ASR","0.1377/6,000","11/35","N","N","2.5","09/13/18","CRMLSM"
"1","OC18187275","S","SFR/D","116 E","Avenida Junipero   ","SC","SE","STD","$971,000","$541.85","3/2,0,0,0","1792/A","1976/ASR","0.1607/7,000","0/0","Y","N","2.5","08/30/18","CRMLSM"
